player_name,team,position,current_start_prob,proposed_start_prob,direction,confidence,round1_started,round1_minutes,round1_rating,round1_goals,round1_assists,used_substitute,team_underperformance_flag,reason,risk_flag,do_not_auto_apply
Adil Boulbina,Algeriet,FWD,0.0917,0.0717,watch,low,0,9,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Aissa Mandi,Algeriet,DEF,0.6633,0.7133,up,medium,1,90,7.2,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Amine Gouiri,Algeriet,FWD,0.45,0.41,down,medium,1,64,5.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, svag rating",,TRUE
Fares Chaibi,Algeriet,MID,0.3472,0.3772,watch,low,1,90,6.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Hicham Boudaoui,Algeriet,MID,0.5497,0.5097,down,medium,1,64,6.2,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, svag rating",,TRUE
Houssem Aouar,Algeriet,MID,0.45,0.43,watch,low,0,26,6.5,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Ibrahim Maza,Algeriet,MID,0.324,0.314,hold,low,1,81,6.1,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Luca Zidane,Algeriet,GK,0.782,0.772,hold,low,1,90,5.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Mohamed Amoura,Algeriet,FWD,0.572,0.552,watch,low,0,26,6.1,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Nabil Bentaleb,Algeriet,MID,0.5835,0.6135,watch,low,1,82,6.5,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Ramiz Zerrouki,Algeriet,MID,0.5785,0.5585,watch,low,0,8,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Ramy Bensebaini,Algeriet,DEF,0.6387,0.6687,watch,low,1,90,6.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Rayan Ait-Nouri,Algeriet,DEF,0.8435,0.8335,hold,low,1,90,6.1,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Riyad Mahrez,Algeriet,FWD,0.6319,0.6119,watch,low,0,26,6.3,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Alexis Mac Allister,Argentina,MID,0.6336,0.6236,hold,low,1,90,6.3,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Cristian Romero,Argentina,DEF,0.6811,0.7311,up,medium,1,80,7.4,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Emiliano Martinez,Argentina,GK,0.938,0.968,watch,low,1,90,6.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Enzo Fernandez,Argentina,MID,0.6606,0.7106,up,medium,1,90,7.4,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Facundo Medina,Argentina,DEF,0.2406,0.2706,watch,low,1,90,6.7,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Gonzalo Montiel,Argentina,DEF,0.5505,0.5205,watch,low,1,46,6.7,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, tidlig udskiftning",,TRUE
Julian Alvarez,Argentina,FWD,0.72,0.7,watch,low,0,35,6.4,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Lautaro Martinez,Argentina,FWD,0.58,0.56,down,medium,,,,,,,FALSE,"Ekspertinput placerer Almada en smule foran; moderat nedjustering som proposal, ikke auto.",role_competition,TRUE
Lionel Messi,Argentina,FWD,0.93,0.98,up,medium,1,80,9.6,3,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Nahuel Molina,Argentina,DEF,0.6568,0.6368,watch,low,0,44,6.6,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Nico Gonzalez,Argentina,FWD,0.5303,0.5603,watch,low,0,35,7.0,0,1,1,FALSE,"St?rk indskifter-performance i runde 1; watch-signal, men ikke automatisk starterl?ft.",impact_sub_not_auto_start,TRUE
Nico Paz,Argentina,MID,0.2902,0.2702,watch,low,0,10,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Nicolas Otamendi,Argentina,DEF,0.6444,0.6244,watch,low,0,10,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Rodrigo de Paul,Argentina,MID,0.2199,0.2499,watch,low,1,90,6.8,0,1,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Thiago Almada,Argentina,MID,0.765,0.68,up,medium,1,55,6.5,0,0,0,FALSE,Bold+ peger p? Almada lidt foran Lautaro i runde 2-billedet.,role_competition,TRUE
Aiden O'Neill,Australien,MID,0.8832,0.9132,watch,low,1,90,6.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Alessandro Circati,Australien,DEF,0.8608,0.9308,up,medium,1,90,7.5,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Aziz Behich,Australien,DEF,0.4,0.38,watch,low,0,6,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Cameron Burgess,Australien,DEF,0.1661,0.1961,watch,low,1,90,6.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Connor Metcalfe,Australien,MID,0.6532,0.7232,up,medium,1,90,7.5,1,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Harry Souttar,Australien,DEF,0.9494,0.98,up,medium,1,90,7.3,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Jackson Irvine,Australien,MID,0.45,0.43,watch,low,0,6,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Jason Geria,Australien,DEF,0.1245,0.1045,watch,low,0,16,6.5,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Jordan Bos,Australien,DEF,0.3743,0.4043,watch,low,1,84,6.4,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Nestory Irankunda,Australien,FWD,0.3241,0.3441,watch,low,1,61,7.2,1,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, god rating",,TRUE
Nishan Velupillay,Australien,FWD,0.0461,0.0261,watch,low,0,29,6.2,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Patrick Beach,Australien,GK,0.0801,0.1501,up,medium,1,90,9.1,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Paul Okon-Engstler,Australien,MID,0.3162,0.3862,up,medium,1,84,8.0,0,1,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Tete Yengi,Australien,FWD,0.8851,0.8651,watch,low,0,16,6.5,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Amadou Onana,Belgien,MID,0.6486,0.6186,watch,low,1,56,6.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, tidlig udskiftning",,TRUE
Brandon Mechele,Belgien,DEF,0.2666,0.3366,up,medium,1,90,8.2,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Charles De Ketelaere,Belgien,FWD,0.82,0.84,watch,low,1,66,7.3,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, god rating",,TRUE
Hans Vanaken,Belgien,MID,0.3017,0.2817,watch,low,0,4,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Jeremy Doku,Belgien,FWD,0.86,0.89,watch,low,1,86,6.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Kevin De Bruyne,Belgien,MID,0.91,0.96,up,medium,1,86,7.0,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Leandro Trossard,Belgien,FWD,0.5943,0.6443,up,medium,1,90,7.3,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Matias Fernandez-Pardo,Belgien,FWD,0.0465,0.0265,watch,low,0,4,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Maxim De Cuyper,Belgien,DEF,0.6436,0.6236,watch,low,0,34,6.5,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Nathan Ngoy,Belgien,DEF,0.8806,0.9106,watch,low,1,90,6.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Nicolas Raskin,Belgien,MID,0.412,0.392,watch,low,0,34,6.9,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Romelu Lukaku,Belgien,FWD,0.4126,0.58,watch,medium,0,24,6.3,0,0,1,FALSE,"Indskiftet, men skal ikke blindt opjusteres som sikker starter endnu.",impact_sub_not_auto_start,TRUE
Thibaut Courtois,Belgien,GK,0.9486,0.9786,watch,low,1,90,6.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Thomas Meunier,Belgien,DEF,0.391,0.381,hold,low,1,90,5.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Timothy Castagne,Belgien,DEF,0.6704,0.6804,hold,low,1,56,7.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, tidlig udskiftning, st?rk rating",,TRUE
Youri Tielemans,Belgien,MID,0.8737,0.9437,up,medium,1,90,7.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Amar Dedic,Bosnien-Hercegovina,DEF,0.8997,0.9297,watch,low,1,90,6.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Amar Memic,Bosnien-Hercegovina,MID,0.396,0.356,down,medium,1,74,5.4,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, svag rating",,TRUE
Armin Gigovic,Bosnien-Hercegovina,MID,0.3948,0.3748,watch,low,0,28,6.5,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Benjamin Tahirovic,Bosnien-Hercegovina,MID,0.9018,0.8918,hold,low,1,90,5.5,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Dzenis Burnic,Bosnien-Hercegovina,MID,0.112,0.092,watch,low,0,6,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Ermedin Demirovic,Bosnien-Hercegovina,FWD,0.6756,0.6656,hold,low,1,90,5.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Esmir Bajraktarevic,Bosnien-Hercegovina,MID,0.8135,0.7735,down,medium,1,74,5.1,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, svag rating",,TRUE
Ivan Sunjic,Bosnien-Hercegovina,MID,0.6652,0.6452,watch,low,0,16,6.4,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Jovo Lukic,Bosnien-Hercegovina,FWD,0.35,0.39,up,medium,1,62,8.3,1,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, st?rk rating",,TRUE
Kerim Alajbegovic,Bosnien-Hercegovina,MID,0.4,0.38,watch,low,0,16,6.4,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Nikola Katic,Bosnien-Hercegovina,DEF,0.8761,0.9461,up,medium,1,90,8.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Nikola Vasilj,Bosnien-Hercegovina,GK,0.9097,0.9397,watch,low,1,90,6.5,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Samed Bazdar,Bosnien-Hercegovina,FWD,0.307,0.287,watch,low,0,28,6.1,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Sead Kolasinac,Bosnien-Hercegovina,DEF,0.6526,0.7226,up,medium,1,84,7.9,0,1,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Tarik Muharemovic,Bosnien-Hercegovina,DEF,0.4,0.47,up,medium,1,90,7.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Alex Sandro,Brasilien,DEF,0.3354,0.43,watch,medium,,,,,,,TRUE,Douglas Santos-sporet skal holdes ?bent efter runde 1; watch frem for direkte nedjustering.,competition_for_role,TRUE
Alisson Becker,Brasilien,GK,0.65,0.68,watch,low,1,90,6.6,0,0,0,TRUE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Bruno Guimaraes,Brasilien,MID,0.8816,0.8716,hold,low,1,80,6.0,0,1,0,TRUE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Casemiro,Brasilien,MID,0.83,0.8,watch,low,1,46,6.4,0,0,0,TRUE,"Flashscore-baseret runde 1-signal: runde1_start, tidlig udskiftning",,TRUE
Douglas Santos,Brasilien,DEF,0.55,0.6,up,medium,1,90,7.3,0,0,0,TRUE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Endrick,Brasilien,FWD,0.2,0.28,watch,medium,,,,,,,TRUE,9?er/angrebsspor skal auditeres efter underpr?station; ikke automatisk op eller ned.,role_competition,TRUE
Fabinho,Brasilien,MID,0.0436,0.0236,watch,low,0,44,6.4,0,0,1,TRUE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Igor Thiago,Brasilien,FWD,0.25,0.18,down,high,1,62,6.2,0,0,0,TRUE,Skuffende pr?station og ekspertinput peger v?k fra startpladsen i Brasilien-angrebet.,role_competition,TRUE
Lucas Paqueta,Brasilien,MID,0.3797,0.62,watch,medium,1,61,6.3,0,0,0,TRUE,"Brasilien underpr?sterede; Paquet? skal auditeres, men ikke auto-ned uden st?rkere individuelt signal.",team_underperformance_flag,TRUE
Luiz Henrique,Brasilien,FWD,0.45,0.43,watch,low,0,28,6.6,0,0,1,TRUE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Marquinhos,Brasilien,DEF,0.9027,0.9327,watch,low,1,90,6.8,0,0,0,TRUE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Matheus Cunha,Brasilien,FWD,0.5422,0.6,up,high,0,29,6.4,0,0,1,TRUE,Bold+ peger p? Cunha som mest sandsynlig 9?er til runde 2; opjusteres moderat.,role_competition,TRUE
Raphinha,Brasilien,FWD,0.88,0.87,hold,low,1,90,6.3,0,0,0,TRUE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Roger Ibanez,Brasilien,DEF,0.497,0.467,watch,low,1,46,6.6,0,0,0,TRUE,"Flashscore-baseret runde 1-signal: runde1_start, tidlig udskiftning",,TRUE
Vinicius Junior,Brasilien,FWD,0.92,0.92,hold,medium,1,90,6.9,1,0,0,TRUE,"Mål i et underpræsterende Brasilien-hold, men må ikke blive auto-lock alene af det. Bevar stærk baseline.",,TRUE
Ali Ahmed,Canada,MID,0.3913,0.3713,watch,low,0,29,6.5,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Alistair Johnston,Canada,DEF,0.9134,0.9434,watch,low,1,90,6.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Cyle Christopher Larin,Canada,FWD,0.6285,0.74,up,high,0,14,7.6,1,0,1,FALSE,Flashscore impactm?l som indskifter kombineret med Bold+-note om at Larin spiller sig t?ttere p? startrollen for Canada.,competition_for_role,TRUE
Derek Cornelius,Canada,DEF,0.6199,0.6699,up,medium,1,90,7.1,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Ismael Kone,Canada,MID,0.8655,0.8555,hold,low,1,90,5.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Jacob Shaffelburg,Canada,MID,0.1043,0.0843,watch,low,0,29,6.5,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Jonathan David,Canada,FWD,0.9223,0.9,hold,medium,,,,,,,FALSE,H?j hierarkiprofil trods anonym runde 1; skal ikke ned automatisk alene pga. konkurrenceflag.,role_competition_watch,TRUE
Jonathan Osorio,Canada,MID,0.1184,0.0984,watch,low,0,0,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Luc De Fougerolles,Canada,DEF,0.68,0.73,up,medium,1,90,7.3,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Maxime Crepeau,Canada,GK,0.8,0.83,watch,low,1,90,6.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Promise David,Canada,FWD,0.0478,0.0778,watch,low,0,29,6.8,0,1,1,FALSE,"St?rk indskifter-performance i runde 1; watch-signal, men ikke automatisk starterl?ft.",impact_sub_not_auto_start,TRUE
Richie Laryea,Canada,DEF,0.9369,0.98,up,medium,1,90,7.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Stephen Eustaquio,Canada,MID,0.8869,0.9369,up,medium,1,91,7.0,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Tajon Buchanan,Canada,MID,0.8774,0.8374,down,medium,1,61,5.7,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, svag rating",,TRUE
Tani Oluwaseyi,Canada,FWD,0.3452,0.3,watch,medium,1,76,6.7,0,0,0,FALSE,"Startede, men Bold+ peger p? pres fra Larin; hold som watch frem for automatisk nedjustering.",competition_for_role,TRUE
Armando Obispo,Curaçao,DEF,0.8574,0.9074,up,medium,1,90,7.0,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Deveron Fonville,Curaçao,DEF,0.489,0.479,hold,low,1,90,5.5,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Eloy Room,Curaçao,GK,0.9495,0.9395,hold,low,1,90,4.3,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Gervane Kastaneer,Curaçao,FWD,0.0902,0.0702,watch,low,0,7,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Jearl Margaritha,Curaçao,FWD,0.1755,0.1555,watch,low,0,25,6.2,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Jeremy Antonisse,Curaçao,FWD,0.3151,0.2951,watch,low,0,44,6.3,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Juninho Bacuna,Curaçao,MID,0.9344,0.98,up,medium,1,90,7.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Jürgen Locadia,Curaçao,FWD,0.5505,0.5105,down,medium,1,65,5.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, svag rating",,TRUE
Leandro Bacuna,Curaçao,MID,0.9151,0.9051,hold,low,1,90,5.7,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Livano Comenencia,Curaçao,DEF,0.9477,0.98,up,medium,1,90,7.1,1,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Riechedly Bazoer,Curaçao,DEF,0.6173,0.6073,hold,low,1,90,5.1,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Sherel Floranus,Curaçao,DEF,0.9165,0.9065,hold,low,1,90,6.0,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Sontje Hansen,Curaçao,FWD,0.377,0.347,watch,low,1,46,6.4,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, tidlig udskiftning",,TRUE
Tahith Chong,Curaçao,MID,0.6207,0.6707,up,medium,1,83,7.0,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, god rating",,TRUE
Alan Minda,Ecuador,MID,0.3264,0.2564,down,medium,1,56,6.2,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, tidlig udskiftning, svag rating",,TRUE
Angelo Preciado,Ecuador,DEF,0.164,0.144,watch,low,0,28,6.1,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Enner Valencia,Ecuador,FWD,0.8826,0.8726,hold,low,1,77,5.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Gonzalo Plata,Ecuador,MID,0.7824,0.8124,watch,low,1,90,6.9,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Hernan Galindez,Ecuador,GK,0.7812,0.8112,watch,low,1,90,6.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Jackson Porozo,Ecuador,DEF,0.2684,0.2484,watch,low,0,28,5.9,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Joel Ordonez,Ecuador,DEF,0.8348,0.8648,watch,low,1,90,6.7,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Kevin Rodriguez,Ecuador,FWD,0.0689,0.0489,watch,low,0,13,5.9,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Moises Caicedo,Ecuador,MID,0.55,0.58,watch,low,1,90,6.7,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Nilson Angulo,Ecuador,FWD,0.45,0.43,watch,low,0,34,5.6,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Pedro Vite,Ecuador,MID,0.8211,0.8911,up,medium,1,90,7.6,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, st?rk rating",,TRUE
Piero Hincapie,Ecuador,DEF,0.9126,0.9026,hold,low,1,90,6.1,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Willian Pacho,Ecuador,DEF,0.9359,0.9259,hold,low,1,90,6.3,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter, svag rating",,TRUE
Ahmed Fatouh,Egypten,DEF,0.5746,0.6046,watch,low,1,88,6.8,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Ahmed Zizo,Egypten,MID,0.4,0.38,watch,low,0,14,6.4,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Emam Ashour,Egypten,MID,0.5732,0.5932,watch,low,1,71,7.1,1,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, god rating",,TRUE
Hamdy Fathy,Egypten,MID,0.8588,0.8888,watch,low,1,88,6.5,0,0,0,FALSE,"Flashscore-baseret runde 1-signal: runde1_start, 75+ minutter",,TRUE
Hamza Abdelkarim,Egypten,FWD,0.0465,0.0265,watch,low,0,14,6.4,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
Ibrahim Adel,Egypten,MID,0.0534,0.0334,watch,low,0,2,,0,0,1,FALSE,"Flashscore-baseret runde 1-signal: indskifter, ingen st?rk indskiftereffekt",,TRUE
