match_id,home,away,kickoff_dk,home_name_da,away_name_da,oddset_url,event_id,discovery_status,note
1,MEX,RSA,2026-06-11 21:00,mexico,sydafrika/south-africa,https://danskespil.dk/oddset/sports/event/9290632/fodbold/verden/vm/mexico-sydafrika,9290632,existing_manual,Fra data/oddset_match_urls.csv
2,KOR,CZE,2026-06-12 04:00,sydkorea/south-korea/korea-republic,tjekkiet/czech-republic/czechia,https://danskespil.dk/oddset/sports/event/9654758/fodbold/verden/vm/sydkorea-tjekkiet,9654758,existing_manual,Fra data/oddset_match_urls.csv
3,CAN,BIH,2026-06-12 21:00,canada,bosnien-hercegovina/bosnien/bosnia-herzegovina/bosnia,,,not_found,Ingen URL med begge holdnavne fundet
4,USA,PAR,2026-06-13 03:00,usa/united-states,paraguay,,,not_found,Ingen URL med begge holdnavne fundet
5,QAT,SUI,2026-06-13 21:00,qatar,schweiz/switzerland,,,not_found,Ingen URL med begge holdnavne fundet
6,BRA,MAR,2026-06-14 00:00,brasilien/brazil,marokko/morocco,,,not_found,Ingen URL med begge holdnavne fundet
7,HAI,SCO,2026-06-14 03:00,haiti,skotland/scotland,,,not_found,Ingen URL med begge holdnavne fundet
8,AUS,TUR,2026-06-14 06:00,australien/australia,tyrkiet/turkey/turkiye,,,not_found,Ingen URL med begge holdnavne fundet
9,GER,CUW,2026-06-14 19:00,tyskland/germany,curacao/curaçao,,,not_found,Ingen URL med begge holdnavne fundet
10,NED,JPN,2026-06-14 22:00,holland/nederlandene/netherlands,japan,,,not_found,Ingen URL med begge holdnavne fundet
11,CIV,ECU,2026-06-15 01:00,elfenbenskysten/ivory-coast/cote-divoire/cote-d-ivoire,ecuador,,,not_found,Ingen URL med begge holdnavne fundet
12,SWE,TUN,2026-06-15 04:00,sverige/sweden,tunesien/tunisia,,,not_found,Ingen URL med begge holdnavne fundet
13,ESP,CPV,2026-06-15 18:00,spanien/spain,kap-verde/cape-verde,,,not_found,Ingen URL med begge holdnavne fundet
14,BEL,EGY,2026-06-15 21:00,belgien/belgium,egypten/egypt,,,not_found,Ingen URL med begge holdnavne fundet
15,KSA,URU,2026-06-16 00:00,saudi-arabien/saudi-arabia,uruguay,,,not_found,Ingen URL med begge holdnavne fundet
16,IRN,NZL,2026-06-16 03:00,iran,new-zealand/new-zealand,,,not_found,Ingen URL med begge holdnavne fundet
17,FRA,SEN,2026-06-16 21:00,frankrig/france,senegal,,,not_found,Ingen URL med begge holdnavne fundet
18,IRQ,NOR,2026-06-17 00:00,irak/iraq,norge/norway,,,not_found,Ingen URL med begge holdnavne fundet
19,ARG,ALG,2026-06-17 03:00,argentina,algeriet/algeria,,,not_found,Ingen URL med begge holdnavne fundet
20,AUT,JOR,2026-06-17 06:00,oestrig/østrig/austria,jordan,,,not_found,Ingen URL med begge holdnavne fundet
21,POR,COD,2026-06-17 19:00,portugal,dr-congo/congo-dr/dem-rep-congo/demokratiske-republik-congo,,,not_found,Ingen URL med begge holdnavne fundet
22,ENG,CRO,2026-06-17 22:00,england,kroatien/croatia,,,not_found,Ingen URL med begge holdnavne fundet
23,GHA,PAN,2026-06-18 01:00,ghana,panama,,,not_found,Ingen URL med begge holdnavne fundet
24,UZB,COL,2026-06-18 04:00,usbekistan/uzbekistan,colombia,,,not_found,Ingen URL med begge holdnavne fundet
25,CZE,RSA,2026-06-18 18:00,tjekkiet/czech-republic/czechia,sydafrika/south-africa,,,not_found,Ingen URL med begge holdnavne fundet
26,SUI,BIH,2026-06-18 21:00,schweiz/switzerland,bosnien-hercegovina/bosnien/bosnia-herzegovina/bosnia,,,not_found,Ingen URL med begge holdnavne fundet
27,CAN,QAT,2026-06-19 00:00,canada,qatar,,,not_found,Ingen URL med begge holdnavne fundet
28,MEX,KOR,2026-06-19 03:00,mexico,sydkorea/south-korea/korea-republic,,,not_found,Ingen URL med begge holdnavne fundet
29,USA,AUS,2026-06-19 21:00,usa/united-states,australien/australia,,,not_found,Ingen URL med begge holdnavne fundet
30,SCO,MAR,2026-06-20 00:00,skotland/scotland,marokko/morocco,,,not_found,Ingen URL med begge holdnavne fundet
31,BRA,HAI,2026-06-20 03:00,brasilien/brazil,haiti,,,not_found,Ingen URL med begge holdnavne fundet
32,TUR,PAR,2026-06-20 06:00,tyrkiet/turkey/turkiye,paraguay,,,not_found,Ingen URL med begge holdnavne fundet
33,NED,SWE,2026-06-20 19:00,holland/nederlandene/netherlands,sverige/sweden,,,not_found,Ingen URL med begge holdnavne fundet
34,GER,CIV,2026-06-20 22:00,tyskland/germany,elfenbenskysten/ivory-coast/cote-divoire/cote-d-ivoire,,,not_found,Ingen URL med begge holdnavne fundet
35,ECU,CUW,2026-06-21 02:00,ecuador,curacao/curaçao,,,not_found,Ingen URL med begge holdnavne fundet
36,TUN,JPN,2026-06-21 06:00,tunesien/tunisia,japan,,,not_found,Ingen URL med begge holdnavne fundet
37,ESP,KSA,2026-06-21 18:00,spanien/spain,saudi-arabien/saudi-arabia,,,not_found,Ingen URL med begge holdnavne fundet
38,BEL,IRN,2026-06-21 21:00,belgien/belgium,iran,,,not_found,Ingen URL med begge holdnavne fundet
39,URU,CPV,2026-06-22 00:00,uruguay,kap-verde/cape-verde,,,not_found,Ingen URL med begge holdnavne fundet
40,NZL,EGY,2026-06-22 03:00,new-zealand/new-zealand,egypten/egypt,,,not_found,Ingen URL med begge holdnavne fundet
41,ARG,AUT,2026-06-22 19:00,argentina,oestrig/østrig/austria,,,not_found,Ingen URL med begge holdnavne fundet
42,FRA,IRQ,2026-06-22 23:00,frankrig/france,irak/iraq,,,not_found,Ingen URL med begge holdnavne fundet
43,NOR,SEN,2026-06-23 02:00,norge/norway,senegal,,,not_found,Ingen URL med begge holdnavne fundet
44,JOR,ALG,2026-06-23 05:00,jordan,algeriet/algeria,,,not_found,Ingen URL med begge holdnavne fundet
45,POR,UZB,2026-06-23 19:00,portugal,usbekistan/uzbekistan,,,not_found,Ingen URL med begge holdnavne fundet
46,ENG,GHA,2026-06-23 22:00,england,ghana,,,not_found,Ingen URL med begge holdnavne fundet
47,PAN,CRO,2026-06-24 01:00,panama,kroatien/croatia,,,not_found,Ingen URL med begge holdnavne fundet
48,COL,COD,2026-06-24 04:00,colombia,dr-congo/congo-dr/dem-rep-congo/demokratiske-republik-congo,,,not_found,Ingen URL med begge holdnavne fundet
49,SUI,CAN,2026-06-24 21:00,schweiz/switzerland,canada,,,not_found,Ingen URL med begge holdnavne fundet
50,BIH,QAT,2026-06-24 21:00,bosnien-hercegovina/bosnien/bosnia-herzegovina/bosnia,qatar,,,not_found,Ingen URL med begge holdnavne fundet
51,SCO,BRA,2026-06-25 00:00,skotland/scotland,brasilien/brazil,,,not_found,Ingen URL med begge holdnavne fundet
52,MAR,HAI,2026-06-25 00:00,marokko/morocco,haiti,,,not_found,Ingen URL med begge holdnavne fundet
53,CZE,MEX,2026-06-25 03:00,tjekkiet/czech-republic/czechia,mexico,,,not_found,Ingen URL med begge holdnavne fundet
54,RSA,KOR,2026-06-25 03:00,sydafrika/south-africa,sydkorea/south-korea/korea-republic,,,not_found,Ingen URL med begge holdnavne fundet
55,CUW,CIV,2026-06-25 22:00,curacao/curaçao,elfenbenskysten/ivory-coast/cote-divoire/cote-d-ivoire,,,not_found,Ingen URL med begge holdnavne fundet
56,ECU,GER,2026-06-25 22:00,ecuador,tyskland/germany,,,not_found,Ingen URL med begge holdnavne fundet
57,TUN,NED,2026-06-26 01:00,tunesien/tunisia,holland/nederlandene/netherlands,,,not_found,Ingen URL med begge holdnavne fundet
58,JPN,SWE,2026-06-26 01:00,japan,sverige/sweden,,,not_found,Ingen URL med begge holdnavne fundet
59,TUR,USA,2026-06-26 04:00,tyrkiet/turkey/turkiye,usa/united-states,,,not_found,Ingen URL med begge holdnavne fundet
60,PAR,AUS,2026-06-26 04:00,paraguay,australien/australia,,,not_found,Ingen URL med begge holdnavne fundet
61,NOR,FRA,2026-06-26 21:00,norge/norway,frankrig/france,,,not_found,Ingen URL med begge holdnavne fundet
62,SEN,IRQ,2026-06-26 21:00,senegal,irak/iraq,,,not_found,Ingen URL med begge holdnavne fundet
63,CPV,KSA,2026-06-27 02:00,kap-verde/cape-verde,saudi-arabien/saudi-arabia,,,not_found,Ingen URL med begge holdnavne fundet
64,URU,ESP,2026-06-27 02:00,uruguay,spanien/spain,,,not_found,Ingen URL med begge holdnavne fundet
65,NZL,BEL,2026-06-27 05:00,new-zealand/new-zealand,belgien/belgium,,,not_found,Ingen URL med begge holdnavne fundet
66,EGY,IRN,2026-06-27 05:00,egypten/egypt,iran,,,not_found,Ingen URL med begge holdnavne fundet
