holdet_player_id,holdet_player_name,holdet_team_name,team_id,position,price,copied_from_old_player_pool,old_player_id,old_player_name,old_team_id,old_team_name,old_match_method,old_match_score
49639,Nico Elvedi,Schweiz,SUI,DEF,3000000,True,nico_elvedi__sui,Nico Elvedi,SUI,Schweiz,exact_name_team,1.0
49851,Silvan Widmer,Schweiz,SUI,DEF,3000000,True,silvan_widmer__sui,Silvan Widmer,SUI,Schweiz,exact_name_team,1.0
49768,Ricardo Rodriguez,Schweiz,SUI,DEF,3000000,True,ricardo_rodr_guez__sui,Ricardo Rodriguez,SUI,Schweiz,exact_name_team,1.0
49071,Eray Cömert,Schweiz,SUI,DEF,2000000,True,eray_c_mert__sui,Eray Cömert,SUI,Schweiz,exact_name_team,1.0
49486,Manuel Akanji,Schweiz,SUI,DEF,3500000,True,manuel_akanji__sui,Manuel Akanji,SUI,Schweiz,exact_name_team,1.0
48890,Becir Omeragic,Schweiz,SUI,DEF,2000000,False,,,,,,0.5217391304347826
48942,Cedric Zesiger,Schweiz,SUI,DEF,2000000,False,,,,,,0.6153846153846154
48868,Aurele Amenda,Schweiz,SUI,DEF,2500000,True,aurele_amenda__sui,Aurele Amenda,SUI,Schweiz,exact_name_team,1.0
49450,Luca Jaquez,Schweiz,SUI,DEF,2000000,True,luca_jaquez__sui,Luca Jaquez,SUI,Schweiz,exact_name_team,1.0
49220,Isaac Schmidt,Schweiz,SUI,DEF,2000000,False,,,,,,0.4666666666666667
49569,Miro Muheim,Schweiz,SUI,DEF,2500000,True,miro_muheim__sui,Miro Muheim,SUI,Schweiz,exact_name_team,1.0
48739,Adrian Bajrami,Schweiz,SUI,DEF,2000000,False,,,,,,0.5185185185185185
49453,Lucas Blondel,Schweiz,SUI,DEF,2000000,False,,,,,,0.46153846153846156
49780,Robin Hranac,Tjekkiet,CZE,DEF,2500000,True,robin_hranac__cze,Robin Hranac,CZE,Tjekkiet,exact_name_team,1.0
49419,Ladislav Krejci,Tjekkiet,CZE,DEF,3000000,True,ladislav_krejci__cze,Ladislav Krejci,CZE,Tjekkiet,exact_name_team,1.0
49863,Stepan Chaloupek,Tjekkiet,CZE,DEF,2000000,True,stepan_chaloupek__cze,Stepan Chaloupek,CZE,Tjekkiet,exact_name_team,1.0
49517,Martin Vitik,Tjekkiet,CZE,DEF,2500000,True,martin_vitik__cze,Martin Vitik,CZE,Tjekkiet,exact_name_team,1.0
48993,David Jurasek,Tjekkiet,CZE,DEF,2000000,True,david_jurasek__cze,David Jurasek,CZE,Tjekkiet,exact_name_team,1.0
50292,David Zima,Tjekkiet,CZE,DEF,2000000,False,,,,,,0.56
49256,Jaroslav Zeleny,Tjekkiet,CZE,DEF,2500000,True,jaroslav_zeleny__cze,Jaroslav Zeleny,CZE,Tjekkiet,exact_name_team,1.0
49902,Tomas Holes,Tjekkiet,CZE,DEF,2000000,True,tomas_holes__cze,Tomas Holes,CZE,Tjekkiet,exact_name_team,1.0
49933,Vladimir Coufal,Tjekkiet,CZE,DEF,3000000,True,vladimir_coufal__cze,Vladimir Coufal,CZE,Tjekkiet,exact_name_team,1.0
49286,João Cancelo,Portugal,POR,DEF,5000000,True,jo_o_cancelo__por,João Cancelo,POR,Portugal,exact_name_team,1.0
49635,Nelson Semedo,Portugal,POR,DEF,4000000,True,n_lson_semedo__por,Nelson Semedo,POR,Portugal,exact_name_team,1.0
49025,Diogo Dalot,Portugal,POR,DEF,4000000,True,diogo_dalot__por,Diogo Dalot,POR,Portugal,exact_name_team,1.0
49673,Nuno Tavares,Portugal,POR,DEF,3500000,False,,,,,,0.6086956521739131
49798,Ruben Dias,Portugal,POR,DEF,4000000,True,r_ben_dias__por,Ruben Dias,POR,Portugal,exact_name_team,1.0
49672,Nuno Mendes,Portugal,POR,DEF,4500000,True,nuno_mendes__por,Nuno Mendes,POR,Portugal,exact_name_team,1.0
49142,Goncalo Inacio,Portugal,POR,DEF,4000000,True,gon_alo_in_cio__por,Goncalo Inacio,POR,Portugal,exact_name_team,1.0
49900,Tomas Araujo,Portugal,POR,DEF,3500000,True,tom_s_ara_jo__por,Tomas Araujo,POR,Portugal,exact_name_team,1.0
48855,Antonio Silva,Portugal,POR,DEF,3500000,False,,,,,,0.6363636363636364
49764,Renato Veiga,Portugal,POR,DEF,3500000,True,renato_veiga__por,Renato Veiga,POR,Portugal,exact_name_team,1.0
49619,Mustafa Eskihellac,Tyrkiet,TUR,DEF,2000000,True,mustafa_eskihella__tur,Mustafa Eskihellac,TUR,Tyrkiet,exact_name_team,1.0
49551,Mert Müldür,Tyrkiet,TUR,DEF,3000000,True,mert_m_ld_r__tur,Mert Müldür,TUR,Tyrkiet,exact_name_team,1.0
49101,Ferdi Kadioglu,Tyrkiet,TUR,DEF,3500000,True,ferdi_kadioglu__tur,Ferdi Kadioglu,TUR,Tyrkiet,exact_name_team,1.0
49818,Samet Akaydin,Tyrkiet,TUR,DEF,2500000,True,samet_akaydin__tur,Samet Akaydin,TUR,Tyrkiet,exact_name_team,1.0
48725,Abdulkerim Bardakci,Tyrkiet,TUR,DEF,3000000,True,abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,Tyrkiet,exact_name_team,1.0
49084,Evren Eren Elmali,Tyrkiet,TUR,DEF,2000000,True,evren_eren_elmali__tur,Evren Eren Elmali,TUR,Tyrkiet,exact_name_team,1.0
49991,Zeki Celik,Tyrkiet,TUR,DEF,2500000,True,zeki_elik__tur,Zeki Celik,TUR,Tyrkiet,exact_name_team,1.0
49549,Merih Demiral,Tyrkiet,TUR,DEF,3000000,True,merih_demiral__tur,Merih Demiral,TUR,Tyrkiet,exact_name_team,1.0
49701,Ozan Kabak,Tyrkiet,TUR,DEF,2500000,True,ozan_kabak__tur,Ozan Kabak,TUR,Tyrkiet,exact_name_team,1.0
50390,Caglar Soyuncu,Tyrkiet,TUR,DEF,2500000,False,,,,,,0.56
48991,David Alaba,Østrig,AUT,DEF,3000000,True,david_alaba__aut,David Alaba,AUT,Østrig,exact_name_team,1.0
49493,Marco Friedl,Østrig,AUT,DEF,2000000,True,marco_friedl__aut,Marco Friedl,AUT,Østrig,exact_name_team,1.0
49735,Philipp Lienhart,Østrig,AUT,DEF,3000000,True,philipp_lienhart__aut,Philipp Lienhart,AUT,Østrig,exact_name_team,1.0
49389,Kevin Danso,Østrig,AUT,DEF,2500000,True,kevin_danso__aut,Kevin Danso,AUT,Østrig,exact_name_team,1.0
49862,Stefan Posch,Østrig,AUT,DEF,3000000,True,stefan_posch__aut,Stefan Posch,AUT,Østrig,exact_name_team,1.0
49736,Phillipp Mwene,Østrig,AUT,DEF,2500000,True,phillipp_mwene__aut,Phillipp Mwene,AUT,Østrig,exact_name_team,1.0
49542,Maximilian Wöber,Østrig,AUT,DEF,2500000,True,maximilian_w_ber__aut,Maximilian Wöber,AUT,Østrig,exact_name_team,1.0
49434,Leopold Querfeld,Østrig,AUT,DEF,2000000,True,leopold_querfeld__aut,Leopold Querfeld,AUT,Østrig,exact_name_team,1.0
50312,David Affengruber,Østrig,AUT,DEF,2500000,False,,,,,,0.45161290322580644
48784,Alexander Prass,Østrig,AUT,DEF,2500000,True,alexander_prass__aut,Alexander Prass,AUT,Østrig,exact_name_team,1.0
50314,Michael Svoboda,Østrig,AUT,DEF,2500000,False,,,,,,0.5294117647058824
49338,Josip Sutalo,Kroatien,CRO,DEF,3000000,True,josip_utalo__cro,Josip Sutalo,CRO,Kroatien,exact_name_team,1.0
49412,Kristijan Jakic,Kroatien,CRO,DEF,3500000,True,kristijan_jaki__cro,Kristijan Jakic,CRO,Kroatien,exact_name_team,1.0
49512,Martin Erlic,Kroatien,CRO,DEF,3000000,True,martin_erlic__cro,Martin Erlic,CRO,Kroatien,exact_name_team,1.0
49337,Josip Stanisic,Kroatien,CRO,DEF,3500000,True,josip_stani_i__cro,Josip Stanisic,CRO,Kroatien,exact_name_team,1.0
49467,Luka Vuskovic,Kroatien,CRO,DEF,2000000,True,luka_vuskovic__cro,Luka Vuskovic,CRO,Kroatien,exact_name_team,1.0
49235,Ivan Smolcic,Kroatien,CRO,DEF,2000000,False,,,,,,0.6666666666666666
49339,Josko Gvardiol,Kroatien,CRO,DEF,3500000,True,jo_ko_gvardiol__cro,Josko Gvardiol,CRO,Kroatien,exact_name_team,1.0
49500,Marin Pongracic,Kroatien,CRO,DEF,2500000,True,marin_pongra_i__cro,Marin Pongracic,CRO,Kroatien,exact_name_team,1.0
49036,Duje Caleta-Car,Kroatien,CRO,DEF,3000000,True,duje_aleta_car__cro,Duje Caleta-Car,CRO,Kroatien,exact_name_team,1.0
48853,Antonio Rüdiger,Tyskland,GER,DEF,4500000,True,antonio_r_diger__ger,Antonio Rüdiger,GER,Tyskland,exact_name_team,1.0
49313,Jonathan Tah,Tyskland,GER,DEF,4500000,True,jonathan_tah__ger,Jonathan Tah,GER,Tyskland,exact_name_team,1.0
49541,Maximilian Mittelstädt,Tyskland,GER,DEF,3500000,False,,,,,,0.6842105263157895
49937,Waldemar Anton,Tyskland,GER,DEF,3500000,True,waldemar_anton__ger,Waldemar Anton,GER,Tyskland,exact_name_team,1.0
49781,Robin Koch,Tyskland,GER,DEF,3500000,True,robin_koch__ger,Robin Koch,GER,Tyskland,exact_name_team,1.0
49643,Nico Schlotterbeck,Tyskland,GER,DEF,4000000,True,nico_schlotterbeck__ger,Nico Schlotterbeck,GER,Tyskland,exact_name_team,1.0
49480,Malick Thiaw,Tyskland,GER,DEF,3000000,True,malick_thiaw__ger,Malick Thiaw,GER,Tyskland,exact_name_team,1.0
