player_name,team_id,position,price,EV,conditional_start_prob,availability_risk,winner_odds,tournament_strength_score,attacking_upside_index,goal_share_norm,assist_share_norm,sot_share_norm,role_upside_assessment,best_offensive_alternative_1,alternative_1_team,alternative_1_position,alternative_1_price,alternative_1_ev,alternative_1_conditional_start_prob,alternative_1_availability_risk,alternative_1_tournament_strength,alternative_1_attacking_upside_index,alternative_1_direct_swap_budget_feasible,best_offensive_alternative_2,best_offensive_alternative_3,upside_label,note
Nuno Mendes,POR,DEF,4500000,3.974216,0.8431,medium_risk,12,0.597722,0.429248,0.013,0.045,0.008,Defensivt long-run valg med clean-sheet/assist-proxy.,,,,,,,,,,,,,acceptable_balance,"Defensivt valg passer til long-run, men bør balanceres af offensiv upside andre steder."
Aymeric Laporte,ESP,DEF,4500000,1.647224,0.902,medium_risk,5.5,0.957933,0.125815,0.008,0.011,0.004,"Defensivt stærk-nation valg, men lav åben spil-upside.",,,,,,,,,,,,,safe_but_low_upside,"Stærk nations-/starterprofil, men lav direkte fantasy-upside."
Ruben Dias,POR,DEF,4000000,2.812349,0.8506,low_risk,12,0.597722,0.195471,0.009,0.021,0.003,"Defensivt stærk-nation valg, men lav åben spil-upside.",,,,,,,,,,,,,acceptable_balance,"Defensivt valg passer til long-run, men bør balanceres af offensiv upside andre steder."
Mikel Oyarzabal,ESP,FWD,7500000,4.133042,0.9432,medium_risk,5.5,0.957933,1.098858,0.065,0.046,0.071,Offensiv starterprofil med reel mål-/skud-upside.,Lamine Yamal,ESP,FWD,9000000,4.230405,0.9615,medium_risk,0.957933,1.14162,no,,,strong_long_run_pick,Stærk nationsprofil og klar offensiv upside.
Nico Williams,ESP,FWD,4500000,3.744479,0.9091,medium_risk,5.5,0.957933,1.101886,0.062,0.042,0.076,Offensiv starterprofil med reel mål-/skud-upside.,Lamine Yamal,ESP,FWD,9000000,4.230405,0.9615,medium_risk,0.957933,1.14162,no,,,strong_long_run_pick,Stærk nationsprofil og klar offensiv upside.
Diogo Costa,POR,GK,5000000,3.560318,0.7925,low_risk,12,0.597722,0,0.001,0,0,"Målmand: long-run styrke er primært clean sheet/holdvej, ikke offensiv upside.",,,,,,,,,,,,,acceptable_balance,"Defensivt valg passer til long-run, men bør balanceres af offensiv upside andre steder."
Declan Rice,ENG,MID,4500000,2.764994,0.8706,low_risk,6.5,0.809364,0.486476,0.034,0.057,0.026,Sikker central/defensiv midtbaneprofil med lavere fantasy-ceiling.,,,,,,,,,,,,,safe_but_low_upside,"Sikker starter fra stærk nation, men lav fantasy-ceiling."
Giovani Lo Celso,ARG,MID,4000000,3.082398,0.8553,medium_risk,9,0.730698,0.639666,0.047,0.055,0.031,Central/sikker midtbane med moderat offensiv upside.,Alexis Mac Allister,ARG,MID,4500000,3.294383,0.8305,medium_risk,0.730698,0.676186,no,,,acceptable_balance,"Balancen mellem nation, start og upside er acceptabel."
Rodrigo de Paul,ARG,MID,4500000,2.957481,0.9545,low_risk,9,0.730698,0.569541,0.037,0.055,0.031,Central/sikker midtbane med moderat offensiv upside.,Alexis Mac Allister,ARG,MID,4500000,3.294383,0.8305,medium_risk,0.730698,0.676186,yes,,,safe_but_low_upside,"Robust long-run profil, men mere central/sikker end eksplosiv fantasy-profil."
Manu Koné,FRA,MID,3500000,2.799984,0.8571,medium_risk,7,0.791494,0.587083,0.032,0.047,0.026,Central/sikker midtbane med moderat offensiv upside.,,,,,,,,,,,,,safe_but_low_upside,"Robust long-run profil, men mere central/sikker end eksplosiv fantasy-profil."
Aurelien Tchouameni,FRA,MID,3500000,2.787585,0.88,medium_risk,7,0.791494,0.586209,0.031,0.05,0.025,Central/sikker midtbane med moderat offensiv upside.,,,,,,,,,,,,,safe_but_low_upside,"Robust long-run profil, men mere central/sikker end eksplosiv fantasy-profil."
