strategy,display_name_da,formation,total_price,total_ev,total_score,avg_conditional_start_prob,high_risk_players,recommended_captain,player_names
round1_2,1. + 2. runde,4-5-1,49000000,46.058877,116.499078,0.9081,0,Jonathan David,Silvan Widmer; Nuno Mendes; Ruben Dias; Marquinhos; Jonathan David; Unai Simon; Tajon Buchanan; John Yeboah; Bruno Fernandes; Kerem Akturkoglu; Joshua Kimmich
round1_2,1. + 2. runde,5-3-2,49500000,46.884946,120.820415,0.9325,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Marquinhos; Richie Laryea; Jonathan David; Cristiano Ronaldo; Unai Simon; Tajon Buchanan; John Yeboah; Bruno Fernandes
round1_2,1. + 2. runde,5-4-1,50000000,45.040574,115.269832,0.9325,0,Jonathan David,Silvan Widmer; Nuno Mendes; Ruben Dias; Marquinhos; Richie Laryea; Jonathan David; Unai Simon; Tajon Buchanan; John Yeboah; Bruno Fernandes; Florian Wirtz
group_stage,Gruppespil,3-4-3,50000000,50.022071,140.65753,0.8951,0,Jonathan David,Silvan Widmer; Nuno Mendes; Cesar Montes; Lionel Messi; Jonathan David; Vinicius Junior; Unai Simon; Kerem Akturkoglu; John Yeboah; Tajon Buchanan; Remo Freuler
group_stage,Gruppespil,3-5-2,49000000,48.42579,136.040938,0.9039,0,Jonathan David,Silvan Widmer; Nuno Mendes; Marquinhos; Lionel Messi; Jonathan David; Unai Simon; Kerem Akturkoglu; John Yeboah; Arda Güler; Tajon Buchanan; Remo Freuler
group_stage,Gruppespil,4-3-3,49500000,49.738998,139.798189,0.8944,0,Jonathan David,Silvan Widmer; Nuno Mendes; Cesar Montes; Richie Laryea; Lionel Messi; Jonathan David; Vinicius Junior; Unai Simon; Kerem Akturkoglu; John Yeboah; Tajon Buchanan
group_stage,Gruppespil,4-4-2,48500000,48.421689,135.75832,0.8915,0,Jonathan David,Silvan Widmer; Nuno Mendes; Marquinhos; Cesar Montes; Lionel Messi; Jonathan David; Unai Simon; Kerem Akturkoglu; John Yeboah; Arda Güler; Tajon Buchanan
group_stage,Gruppespil,4-5-1,50000000,46.60749,129.505707,0.893,0,Lionel Messi,Silvan Widmer; Nuno Mendes; Cesar Montes; Ruben Dias; Lionel Messi; Unai Simon; Kerem Akturkoglu; John Yeboah; Arda Güler; Tajon Buchanan; Bruno Fernandes
group_stage,Gruppespil,5-3-2,50000000,48.531162,134.648214,0.8935,0,Jonathan David,Silvan Widmer; Nuno Mendes; Marquinhos; Cesar Montes; Denzel Dumfries; Lionel Messi; Jonathan David; Unai Simon; Kerem Akturkoglu; John Yeboah; Arda Güler
group_stage,Gruppespil,5-4-1,49000000,46.775823,129.198418,0.8899,0,Lionel Messi,Silvan Widmer; Nuno Mendes; Marquinhos; Cesar Montes; Denzel Dumfries; Lionel Messi; Unai Simon; Kerem Akturkoglu; John Yeboah; Arda Güler; Tajon Buchanan
practical_start,1. + 2. runde,3-4-3,50000000,49.165536,137.987845,0.9153,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Cesar Montes; Jonathan David; Lionel Messi; Cristiano Ronaldo; Unai Simon; Tajon Buchanan; John Yeboah; Joshua Kimmich; Antonio Nusa
practical_start,1. + 2. runde,3-5-2,50000000,46.922547,133.562885,0.9283,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Jonathan David; Cristiano Ronaldo; Unai Simon; Bruno Fernandes; Tajon Buchanan; John Yeboah; Joshua Kimmich; Antonio Nusa
practical_start,1. + 2. runde,4-3-3,50000000,48.991526,136.933811,0.9203,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Nico Schlotterbeck; Jonathan David; Lionel Messi; Cristiano Ronaldo; Unai Simon; Tajon Buchanan; John Yeboah; Antonio Nusa
practical_start,1. + 2. runde,4-4-2,49500000,47.036219,132.627602,0.9229,0,Cristiano Ronaldo,Silvan Widmer; Nuno Mendes; Ruben Dias; Cesar Montes; Jonathan David; Cristiano Ronaldo; Unai Simon; Bruno Fernandes; Tajon Buchanan; John Yeboah; Joshua Kimmich
practical_start,1. + 2. runde,4-5-1,50000000,45.191847,127.048326,0.9229,0,Jonathan David,Silvan Widmer; Nuno Mendes; Ruben Dias; Cesar Montes; Jonathan David; Unai Simon; Bruno Fernandes; Tajon Buchanan; John Yeboah; Joshua Kimmich; Florian Wirtz
practical_start,1. + 2. runde,5-3-2,49500000,47.43742,131.430578,0.9149,0,Jonathan David,Silvan Widmer; Nuno Mendes; Ruben Dias; Cesar Montes; Nico Schlotterbeck; Jonathan David; Lionel Messi; Unai Simon; Bruno Fernandes; Tajon Buchanan; John Yeboah
practical_start,1. + 2. runde,5-4-1,50000000,45.713146,125.819905,0.9149,0,Lionel Messi,Silvan Widmer; Nuno Mendes; Ruben Dias; Cesar Montes; Nico Schlotterbeck; Lionel Messi; Unai Simon; Bruno Fernandes; Tajon Buchanan; John Yeboah; Joshua Kimmich
long_run,Lang sigt,3-4-3,50000000,44.081142,73.817155,0.9273,0,Cristiano Ronaldo,Nuno Mendes; Ruben Dias; Nicolas Tagliafico; Cristiano Ronaldo; Nico Williams; Bukayo Saka; Unai Simon; Declan Rice; Antonio Nusa; Youri Tielemans; Sander Berge
long_run,Lang sigt,3-5-2,50000000,42.832273,73.592983,0.9254,0,Mikel Oyarzabal,Nuno Mendes; Ruben Dias; Nicolas Tagliafico; Mikel Oyarzabal; Nico Williams; Unai Simon; Jude Bellingham; Declan Rice; Antonio Nusa; Youri Tielemans; Sander Berge
long_run,Lang sigt,4-3-3,50000000,43.922161,75.003413,0.9121,0,Mikel Oyarzabal,Nuno Mendes; Ruben Dias; Nicolas Tagliafico; Nathaniel Brown; Mikel Oyarzabal; Nico Williams; Bukayo Saka; Unai Simon; Declan Rice; Antonio Nusa; Youri Tielemans
long_run,Lang sigt,4-4-2,50000000,44.01781,74.604894,0.9184,0,Mikel Oyarzabal,Nuno Mendes; Ruben Dias; Nicolas Tagliafico; Nico Schlotterbeck; Mikel Oyarzabal; Nico Williams; Unai Simon; Declan Rice; Joshua Kimmich; Antonio Nusa; Youri Tielemans
long_run,Lang sigt,4-5-1,49500000,43.06689,73.663483,0.9279,0,Nico Williams,Nuno Mendes; Marquinhos; Ruben Dias; Nicolas Tagliafico; Nico Williams; Unai Simon; Jude Bellingham; Declan Rice; Joshua Kimmich; Antonio Nusa; Youri Tielemans
long_run,Lang sigt,5-3-2,50000000,44.145509,75.17701,0.9163,0,Mikel Oyarzabal,Nuno Mendes; Marquinhos; Ruben Dias; Nicolas Tagliafico; Nico Schlotterbeck; Mikel Oyarzabal; Nico Williams; Unai Simon; Declan Rice; Antonio Nusa; Youri Tielemans
long_run,Lang sigt,5-4-1,50000000,43.333378,74.45245,0.9261,0,Nico Williams,Nuno Mendes; Marquinhos; Ruben Dias; Nicolas Tagliafico; Nico Schlotterbeck; Nico Williams; Unai Simon; Jude Bellingham; Declan Rice; Joshua Kimmich; Antonio Nusa
