player_id,name,team,position,price,pool_start_prob,pool_conditional_start_prob,pool_optimizer_ev,pool_weighted_ev,pool_out,ev_start_prob,ev_conditional_start_prob,ev_optimizer_ev,ev_weighted_ev,start_security_pct,start_security,source,note
bento_krepski__bra,Bento Krepski,BRA,GK,5000000,0.05,0.08,0.0,0.0,True,0.05,0.08,0.0,0.0,5.0,0.05,manual_context_override_safe,Manual context review: Brazil GK hierarchy uncertain but Bento treated as outside option.
alisson_becker__bra,Alisson Becker,BRA,GK,5000000,0.65,0.7,2.9992859110169494,2.9992859110169494,,0.65,0.7,2.9992859110169494,2.9992859110169494,65.0,0.65,manual_context_override_safe,Manual context review: Brazil GK hierarchy uncertain. Alisson likely but not locked starter over Ederson/Bento.
ederson_moraes__bra,Ederson Moraes,BRA,GK,5000000,0.3,0.35,2.272635483870968,2.272635483870968,,0.3,0.35,2.272635483870968,2.272635483870968,30.0,0.3,manual_context_override_safe,"Manual context review: Brazil GK hierarchy uncertain. Ederson remains plausible starter, not near-zero."
florian_wirtz__ger,Florian Wirtz,GER,MID,7500000,0.94,0.97,3.8016489177489174,3.8016489177489174,,0.94,0.97,3.8016489177489174,3.8016489177489174,94.0,0.94,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
jamal_musiala__ger,Jamal Musiala,GER,MID,6500000,0.9,0.95,3.445685663401603,3.445685663401603,,0.9,0.95,3.445685663401603,3.445685663401603,90.0,0.9,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
jude_bellingham__eng,Jude Bellingham,ENG,MID,6000000,0.93,0.97,3.943885681932562,3.943885681932562,,0.93,0.97,3.943885681932562,3.943885681932562,93.0,0.93,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,MID,7000000,0.91,0.95,3.7534317241379314,3.7534317241379314,,0.91,0.95,3.7534317241379314,3.7534317241379314,91.0,0.91,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
erling_haaland__nor,Erling Haaland,NOR,FWD,8500000,0.93,0.97,4.354946257451975,4.354946257451975,,0.93,0.97,4.354946257451975,4.354946257451975,93.0,0.93,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
bukayo_saka__eng,Bukayo Saka,ENG,FWD,6500000,0.9,0.95,4.815501408450704,4.815501408450704,,0.9,0.95,4.815501408450704,4.815501408450704,90.0,0.9,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
harry_kane__eng,Harry Kane,ENG,FWD,9500000,0.97,0.99,5.248523,5.248523,,0.97,0.99,5.248523,5.248523,97.0,0.97,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
neymar_jr__bra,Neymar Jr.,BRA,FWD,5500000,0.05,0.1,0.123497757596143,0.123497757596143,,0.05,0.1,0.123497757596143,0.123497757596143,5.0,0.05,manual_context_override_safe,Manual context review: Neymar has extended recent Brazil absence/injury/not-in-squad history. Treat as unlikely starter until clear expected-XI evidence says otherwise.
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,6000000,0.6306,0.6727,3.843021,3.843021,,0.6306,0.6727,3.843021,3.843021,63,0.6306,transfermarkt_availability_split_2026_06_07,
lautaro_mart_nez__arg,Lautaro Martinez,ARG,FWD,8000000,0.88,0.93,6.914326138172557,6.914326138172557,,0.88,0.93,6.914326138172557,6.914326138172557,88.0,0.88,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
kylian_mbapp__fra,Kylian Mbappe,FRA,FWD,10000000,0.95,0.98,6.488620875869211,6.488620875869211,,0.95,0.98,6.488620875869211,6.488620875869211,95.0,0.95,manual_context_override_safe,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.
