player_id,player_name,team_id,position,start_security,start_probability_pct,start_status,minutes_def_used,starts_def_used,nineties_def_used,min_pct_def_used,starts_per_ninety_used,base_start_score,start_reliability,minute_share_pf_used,starter_proxy_pf_used,merge_key,minute_share_pf,starter_proxy_pf,conditional_start_prob,availability_prob,availability_risk,availability_status,start_prob_source
,Aïssa Mandi,ALGERIA,,0.8938,89,sikker starter,421.0,4.0,4.7,87.7,0.851,0.8938,1.0,,,aïssa mandi||algeria,,,,,,,
,Luca Zidane,ALGERIA,,0.8856,89,sikker starter,390.0,4.0,4.3,81.3,0.93,0.8856,1.0,,,luca zidane||algeria,,,,,,,
,Ramy Bensebaini,ALGERIA,,0.8856,89,sikker starter,390.0,4.0,4.3,81.3,0.93,0.8856,1.0,,,ramy bensebaini||algeria,,,,,,,
,Hicham Boudaoui,ALGERIA,,0.8802,88,sikker starter,372.0,4.0,4.1,77.5,0.976,0.8802,1.0,,,hicham boudaoui||algeria,,,,,,,
,Mohamed Amoura,ALGERIA,,0.8762,88,sandsynlig starter,368.0,4.0,4.1,76.7,0.976,0.8762,1.0,,,mohamed amoura||algeria,,,,,,,
,Rafik Belghali,ALGERIA,,0.8762,88,sandsynlig starter,375.0,4.0,4.2,78.1,0.952,0.8762,1.0,,,rafik belghali||algeria,,,,,,,
,Rayan Aït-Nouri,ALGERIA,,0.8557,86,sandsynlig starter,354.0,5.0,3.9,73.8,1.0,0.8647,0.9783,,,rayan aït-nouri||algeria,,,,,,,
,Fares Chaïbi,ALGERIA,,0.8267,83,sandsynlig starter,342.0,4.0,3.8,71.3,1.0,0.8465,0.95,,,fares chaïbi||algeria,,,,,,,
,Ibrahim Maza,ALGERIA,,0.7792,78,sandsynlig starter,323.0,4.0,3.6,67.3,1.0,0.8163,0.8989,,,ibrahim maza||algeria,,,,,,,
,Riyad Mahrez,ALGERIA,,0.6559,66,rotation/usikker,266.0,4.0,3.0,55.4,1.0,0.7261,0.7456,,,riyad mahrez||algeria,,,,,,,
,Ismaël Bennacer,ALGERIA,,0.5632,56,rotation/usikker,212.0,3.0,2.4,44.2,1.0,0.6401,0.5956,,,ismaël bennacer||algeria,,,,,,,
,Ramiz Zerrouki,ALGERIA,,0.5018,50,mest backup,166.0,2.0,1.8,34.6,1.0,0.5639,0.4544,,,ramiz zerrouki||algeria,,,,,,,
,Baghdad Bounedjah,ALGERIA,,0.4773,48,mest backup,236.0,1.0,2.6,49.2,0.385,0.4918,0.6522,,,baghdad bounedjah||algeria,,,,,,,
,Oussama Benbot,ALGERIA,,0.45,45,mest backup,,0.0,,,,,0.0,,,oussama benbot||algeria,,,,,,,
,Anthony Mandrea,ALGERIA,,0.4485,45,mest backup,90.0,1.0,1.0,18.8,1.0,0.444,0.25,,,anthony mandrea||algeria,,,,,,,
,Monsef Bakrar,ALGERIA,,0.4485,45,mest backup,90.0,1.0,1.0,18.8,1.0,0.444,0.25,,,monsef bakrar||algeria,,,,,,,
,Anis Hadj Moussa,ALGERIA,,0.4462,45,mest backup,184.0,1.0,2.0,38.3,0.5,0.4424,0.5044,,,anis hadj moussa||algeria,,,,,,,
,Himad Abdelli,ALGERIA,,0.4434,44,mest backup,175.0,1.0,1.9,36.5,0.526,0.4363,0.4794,,,himad abdelli||algeria,,,,,,,
,Samir Chergui,ALGERIA,,0.4409,44,mest backup,60.0,1.0,0.7,12.5,1.0,0.3968,0.1717,,,samir chergui||algeria,,,,,,,
,Zineddine Belaid,ALGERIA,,0.4409,44,mest backup,171.0,1.0,1.9,35.6,0.526,0.4309,0.475,,,zineddine belaid||algeria,,,,,,,
,Mohamed Amine Tougai,ALGERIA,,0.4407,44,mest backup,59.0,1.0,0.7,12.3,1.0,0.3956,0.1706,,,mohamed amine tougai||algeria,,,,,,,
,Jaouen Hadjam,ALGERIA,,0.4401,44,mest backup,43.0,1.0,0.5,9.0,1.0,0.3696,0.1228,,,jaouen hadjam||algeria,,,,,,,
,Redouane Berkane,ALGERIA,,0.4387,44,mest backup,10.0,0.0,0.1,2.1,0.0,0.0157,0.0261,,,redouane berkane||algeria,,,,,,,
,Ilan Kebbal,ALGERIA,,0.4378,44,mest backup,12.0,0.0,0.1,2.5,0.0,0.0182,0.0283,,,ilan kebbal||algeria,,,,,,,
,Adem Zorgane,ALGERIA,,0.4184,42,mest backup,30.0,0.0,0.3,6.3,0.0,0.0472,0.0783,,,adem zorgane||algeria,,,,,,,
,Mehdi Dorval,ALGERIA,,0.4028,40,mest backup,45.0,0.0,0.5,9.4,0.0,0.072,0.125,,,mehdi dorval||algeria,,,,,,,
,Youcef Atal,ALGERIA,,0.4028,40,mest backup,45.0,0.0,0.5,9.4,0.0,0.072,0.125,,,youcef atal||algeria,,,,,,,
,Adil Boulbina,ALGERIA,,0.3961,40,mest backup,51.0,0.0,0.6,10.6,0.0,0.0823,0.1467,,,adil boulbina||algeria,,,,,,,
,Nicolás González,ARGENTINA,,0.6485,65,rotation/usikker,220.0,2.0,2.4,81.5,0.833,0.7784,0.6044,,,nicolás gonzález||argentina,,,,,,,
,Lautaro Martínez,ARGENTINA,,0.6206,62,rotation/usikker,202.0,2.0,2.2,74.8,0.909,0.7576,0.5544,,,lautaro martínez||argentina,,,,,,,
,Giovani Lo Celso,ARGENTINA,,0.6159,62,rotation/usikker,193.0,3.0,2.1,71.5,1.0,0.7634,0.5294,,,giovani lo celso||argentina,,,,,,,
,Rodrigo De Paul,ARGENTINA,,0.6084,61,rotation/usikker,193.0,2.0,2.1,71.5,0.952,0.7491,0.5294,,,rodrigo de paul||argentina,,,,,,,
,Alexis Mac Allister,ARGENTINA,,0.5999,60,rotation/usikker,187.0,2.0,2.1,69.3,0.952,0.7368,0.5228,,,alexis mac allister||argentina,,,,,,,
,Cristian Romero,ARGENTINA,,0.5918,59,rotation/usikker,180.0,2.0,2.0,66.7,1.0,0.7335,0.5,,,cristian romero||argentina,,,,,,,
,Lionel Messi,ARGENTINA,,0.5794,58,rotation/usikker,175.0,2.0,1.9,64.8,1.0,0.7199,0.4794,,,lionel messi||argentina,,,,,,,
,Emiliano Martínez,ARGENTINA,,0.5616,56,rotation/usikker,165.0,2.0,1.8,61.1,1.0,0.6962,0.4533,,,emiliano martínez||argentina,,,,,,,
,Nicolás Tagliafico,ARGENTINA,,0.5156,52,mest backup,135.0,2.0,1.5,50.0,1.0,0.625,0.375,,,nicolás tagliafico||argentina,,,,,,,
,Nicolás Paz,ARGENTINA,,0.4714,47,mest backup,123.0,1.0,1.4,45.6,0.714,0.5116,0.3467,,,nicolás paz||argentina,,,,,,,
,Leonardo Balerdi,ARGENTINA,,0.4693,47,mest backup,103.0,1.0,1.1,38.1,0.909,0.5191,0.2794,,,leonardo balerdi||argentina,,,,,,,
,Gerónimo Rulli,ARGENTINA,,0.4666,47,mest backup,90.0,1.0,1.0,33.3,1.0,0.5165,0.25,,,gerónimo rulli||argentina,,,,,,,
,Juan Foyth,ARGENTINA,,0.4666,47,mest backup,90.0,1.0,1.0,33.3,1.0,0.5165,0.25,,,juan foyth||argentina,,,,,,,
,Marcos Senesi,ARGENTINA,,0.4666,47,mest backup,90.0,1.0,1.0,33.3,1.0,0.5165,0.25,,,marcos senesi||argentina,,,,,,,
,Nahuel Molina,ARGENTINA,,0.466,47,mest backup,105.0,1.0,1.2,38.9,0.833,0.5038,0.2967,,,nahuel molina||argentina,,,,,,,
,Giuliano Simeone,ARGENTINA,,0.4622,46,mest backup,85.0,1.0,0.9,31.5,1.0,0.5034,0.2294,,,giuliano simeone||argentina,,,,,,,
,Enzo Fernández,ARGENTINA,,0.4581,46,mest backup,77.0,1.0,0.9,28.5,1.0,0.4866,0.2206,,,enzo fernández||argentina,,,,,,,
,Julián Álvarez,ARGENTINA,,0.4581,46,mest backup,77.0,1.0,0.9,28.5,1.0,0.4866,0.2206,,,julián álvarez||argentina,,,,,,,
,José Manuel López,ARGENTINA,,0.453,45,mest backup,68.0,1.0,0.8,25.2,1.0,0.4651,0.1956,,,josé manuel lópez||argentina,,,,,,,
,Thiago Almada,ARGENTINA,,0.453,45,mest backup,68.0,1.0,0.8,25.2,1.0,0.4651,0.1956,,,thiago almada||argentina,,,,,,,
,Demián Talavera,ARGENTINA,,0.45,45,mest backup,,0.0,,,,,0.0,,,demián talavera||argentina,,,,,,,
,Gonzalo Montiel,ARGENTINA,,0.45,45,mest backup,62.0,1.0,0.7,23.0,1.0,0.4498,0.1739,,,gonzalo montiel||argentina,,,,,,,
,Leandro Paredes,ARGENTINA,,0.45,45,mest backup,62.0,1.0,0.7,23.0,1.0,0.4498,0.1739,,,leandro paredes||argentina,,,,,,,
,Valentín Barco,ARGENTINA,,0.45,45,mest backup,,0.0,,,,,0.0,,,valentín barco||argentina,,,,,,,
,Walter Benítez,ARGENTINA,,0.45,45,mest backup,,0.0,,,,,0.0,,,walter benítez||argentina,,,,,,,
,Nicolás Otamendi,ARGENTINA,,0.4448,44,mest backup,45.0,1.0,0.5,16.7,1.0,0.4085,0.125,,,nicolás otamendi||argentina,,,,,,,
,Gianluca Prestianni,ARGENTINA,,0.441,44,mest backup,5.0,0.0,0.1,1.9,0.0,0.0136,0.0206,,,gianluca prestianni||argentina,,,,,,,
,Joaquín Panichelli,ARGENTINA,,0.441,44,mest backup,5.0,0.0,0.1,1.9,0.0,0.0136,0.0206,,,joaquín panichelli||argentina,,,,,,,
,Máximo Perrone,ARGENTINA,,0.4406,44,mest backup,6.0,0.0,0.1,2.2,0.0,0.0153,0.0217,,,máximo perrone||argentina,,,,,,,
,Facundo Cambeses,ARGENTINA,,0.4307,43,mest backup,15.0,0.0,0.2,5.6,0.0,0.0373,0.0467,,,facundo cambeses||argentina,,,,,,,
,Emi Buendía,ARGENTINA,,0.4283,43,mest backup,22.0,0.0,0.2,8.1,0.0,0.0514,0.0544,,,emi buendía||argentina,,,,,,,
,Kevin Mac Allister,ARGENTINA,,0.4145,41,mest backup,32.0,0.0,0.4,11.9,0.0,0.0786,0.0956,,,kevin mac allister||argentina,,,,,,,
,Aníbal Moreno,ARGENTINA,,0.4073,41,mest backup,45.0,0.0,0.5,16.7,0.0,0.1085,0.125,,,aníbal moreno||argentina,,,,,,,
,Lautaro Rivero,ARGENTINA,,0.4073,41,mest backup,45.0,0.0,0.5,16.7,0.0,0.1085,0.125,,,lautaro rivero||argentina,,,,,,,
,Aiden O'Neill,AUSTRALIA,,0.9606,96,sikker starter,347.0,4.0,3.9,96.4,1.0,0.9761,0.9706,,,aiden o'neill||australia,,,,,,,
,Cameron Burgess,AUSTRALIA,,0.8211,82,sandsynlig starter,317.0,3.0,3.5,88.1,0.857,0.8731,0.8772,,,cameron burgess||australia,,,,,,,
,Connor Metcalfe,AUSTRALIA,,0.7609,76,sandsynlig starter,283.0,4.0,3.1,78.6,1.0,0.8489,0.7794,,,connor metcalfe||australia,,,,,,,
,Miloš Degenek,AUSTRALIA,,0.7312,73,rotation/usikker,270.0,3.0,3.0,75.0,1.0,0.825,0.75,,,miloš degenek||australia,,,,,,,
,Mo Touré,AUSTRALIA,,0.7046,70,rotation/usikker,258.0,3.0,2.9,71.7,1.0,0.8028,0.7217,,,mo touré||australia,,,,,,,
,Lewis Miller,AUSTRALIA,,0.5949,59,rotation/usikker,227.0,2.0,2.5,63.1,0.8,0.6809,0.6272,,,lewis miller||australia,,,,,,,
,Nestory Irankunda,AUSTRALIA,,0.5761,58,rotation/usikker,210.0,2.0,2.3,58.3,0.87,0.668,0.5783,,,nestory irankunda||australia,,,,,,,
,Alessandro Circati,AUSTRALIA,,0.55,55,rotation/usikker,180.0,2.0,2.0,50.0,1.0,0.65,0.5,,,alessandro circati||australia,,,,,,,
,Kai Trewin,AUSTRALIA,,0.55,55,rotation/usikker,180.0,2.0,2.0,50.0,1.0,0.65,0.5,,,kai trewin||australia,,,,,,,
,Paul Izzo,AUSTRALIA,,0.55,55,rotation/usikker,180.0,2.0,2.0,50.0,1.0,0.65,0.5,,,paul izzo||australia,,,,,,,
,Max Balard,AUSTRALIA,,0.5043,50,mest backup,147.0,2.0,1.6,40.8,1.0,0.5847,0.4033,,,max balard||australia,,,,,,,
,Jacob Italiano,AUSTRALIA,,0.4907,49,mest backup,133.0,2.0,1.5,36.9,1.0,0.5591,0.3728,,,jacob italiano||australia,,,,,,,
,Jason Geria,AUSTRALIA,,0.4893,49,mest backup,131.0,2.0,1.5,36.4,1.0,0.5561,0.3706,,,jason geria||australia,,,,,,,
,Kye Rowles,AUSTRALIA,,0.4745,47,mest backup,116.0,2.0,1.3,32.2,1.0,0.5258,0.3239,,,kye rowles||australia,,,,,,,
,Mathew Ryan,AUSTRALIA,,0.4562,46,mest backup,90.0,1.0,1.0,25.0,1.0,0.475,0.25,,,mathew ryan||australia,,,,,,,
,Patrick Beach,AUSTRALIA,,0.4562,46,mest backup,90.0,1.0,1.0,25.0,1.0,0.475,0.25,,,patrick beach||australia,,,,,,,
,Paul Okon-Engstler,AUSTRALIA,,0.4562,46,mest backup,90.0,1.0,1.0,25.0,1.0,0.475,0.25,,,paul okon-engstler||australia,,,,,,,
,Riley McGree,AUSTRALIA,,0.4555,46,mest backup,102.0,1.0,1.1,28.3,0.909,0.4699,0.2783,,,riley mcgree||australia,,,,,,,
,Jordy Bos,AUSTRALIA,,0.4516,45,mest backup,123.0,1.0,1.4,34.2,0.714,0.4546,0.3467,,,jordy bos||australia,,,,,,,
,Martin Boyle,AUSTRALIA,,0.4516,45,mest backup,105.0,1.0,1.2,29.2,0.833,0.4553,0.2967,,,martin boyle||australia,,,,,,,
,Cammy Devlin,AUSTRALIA,,0.45,45,mest backup,,0.0,,,,,0.0,,,cammy devlin||australia,,,,,,,
,Hayden Matthews,AUSTRALIA,,0.45,45,mest backup,,0.0,,,,,0.0,,,hayden matthews||australia,,,,,,,
,Jack Iredale,AUSTRALIA,,0.45,45,mest backup,,0.0,,,,,0.0,,,jack iredale||australia,,,,,,,
,James Overy,AUSTRALIA,,0.45,45,mest backup,,0.0,,,,,0.0,,,james overy||australia,,,,,,,
,Joe Gauci,AUSTRALIA,,0.45,45,mest backup,,0.0,,,,,0.0,,,joe gauci||australia,,,,,,,
,Daniel Arzani,AUSTRALIA,,0.4495,45,mest backup,1.0,0.0,0.0,0.3,,0.0025,0.0011,,,daniel arzani||australia,,,,,,,
