player_id,player_name,team,position,price,strategy,formation,target_round,start_prob,appearance_prob,availability_risk,goal_component,assist_component,shot_component,match_winner_component,hattrick_component,player_of_match_component,penalty_component,team_result_component,clean_sheet_component,appearance_component,start_security_effect,fixture_strength_component,round_context_component,long_run_effect,price_value_component,final_ev,strategy_score,suspected_issue
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,next_round,5-3-2,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.0144,2.5836,0.0,-0.4977,2.5705,5.0758,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,round1_2,3-4-3,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.079,4.46,0.0,-0.4977,2.5705,6.4505,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,round1_2,3-5-2,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.079,4.46,0.0,-0.4977,2.5705,6.4505,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,round1_2,4-3-3,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.079,4.46,0.0,-0.4977,2.5705,6.4505,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,round1_2,4-4-2,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.079,4.46,0.0,-0.4977,2.5705,6.4505,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,round1_2,4-5-1,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.079,4.46,0.0,-0.4977,2.5705,6.4505,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,round1_2,5-3-2,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.079,4.46,0.0,-0.4977,2.5705,6.4505,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,round1_2,5-4-1,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.079,4.46,0.0,-0.4977,2.5705,6.4505,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,group_stage,3-4-3,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.0153,5.194,0.0,-0.4977,2.5705,7.3485,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,group_stage,4-3-3,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.0153,5.194,0.0,-0.4977,2.5705,7.3485,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,group_stage,4-4-2,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.0153,5.194,0.0,-0.4977,2.5705,7.3485,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,group_stage,4-5-1,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.0153,5.194,0.0,-0.4977,2.5705,7.3485,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,group_stage,5-3-2,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.0153,5.194,0.0,-0.4977,2.5705,7.3485,no_component_issue_from_available_outputs
alex_freeman__usa,Alex Freeman,USA,DEF,2500000,group_stage,5-4-1,1,0.8632,0.8333,medium_risk,0.082,0.0729,0.0793,,,,,0.3488,0.9583,196.0234,0.37,0.0153,5.194,0.0,-0.4977,2.5705,7.3485,no_component_issue_from_available_outputs
antonio_nusa__nor,Antonio Nusa,NOR,MID,3500000,next_round,3-5-2,1,0.8157,0.7647,medium_risk,0.5041,0.1474,0.3754,,,,,0.3504,0.0,162.6531,0.37,0.9025,3.63,0.0,-0.3184,3.2544,7.5711,no_component_issue_from_available_outputs
